target,kepid,kepler_name,ra,dec,teff,srad,smass,dist_pc
KIC 10797460,10797460,Kepler-227,291.93423,48.141651,5455.0,0.927,0.919,1083.06
KIC 10811496,10811496,,297.00482,48.134129,5853.0,0.868,0.961,
KIC 10848459,10848459,,285.53461,48.28521,5805.0,0.791,0.836,
KIC 10854555,10854555,Kepler-664,288.75488,48.2262,6031.0,1.046,1.095,1210.12
KIC 10872983,10872983,Kepler-228,296.28613,48.22467,6046.0,0.972,1.053,1644.61
KIC 6721123,6721123,,298.86435,42.151569,6227.0,1.958,1.358,
KIC 10910878,10910878,Kepler-229,286.99948,48.37579,5031.0,0.848,0.801,826.265
KIC 11446443,11446443,Kepler-1,286.80847,49.316399,5820.0,0.964,0.971,
KIC 10666592,10666592,Kepler-2,292.24728,47.969521,6440.0,1.952,1.449,
KIC 6922244,6922244,Kepler-8,281.28812,42.45108,6225.0,1.451,1.132,1021.87
KIC 10984090,10984090,Kepler-466,295.64871,48.49556,5833.0,1.022,0.974,530.122
KIC 10419211,10419211,,297.07993,47.597401,5795.0,0.848,0.938,
KIC 10464078,10464078,,289.25821,47.635319,5043.0,0.68,0.657,
KIC 10480982,10480982,,295.81454,47.69035,6117.0,0.947,1.025,
KIC 10485250,10485250,,297.15442,47.668701,5152.0,0.786,0.741,
KIC 10526549,10526549,Kepler-660,288.13824,47.724449,4856.0,0.696,0.676,568.431
KIC 10583066,10583066,Kepler-661,283.71088,47.86327,4537.0,0.672,0.761,534.788
KIC 10583180,10583180,,283.76547,47.804298,4989.0,0.819,0.781,
KIC 10601284,10601284,Kepler-226,292.37613,47.880989,5185.0,0.91,0.831,980.138
KIC 2306756,2306756,,292.27374,37.671558,5543.0,1.58,1.103,
KIC 10662202,10662202,Kepler-662,290.46512,47.92918,4954.0,0.828,0.791,815.637
KIC 10682541,10682541,Kepler-663,297.80826,47.946671,5339.0,0.847,0.931,1063.09
KIC 11460018,11460018,Kepler-671,294.26581,49.314091,5644.0,0.831,0.928,1168.26
KIC 11463211,11463211,,295.66522,49.351009,5714.0,0.831,0.926,
KIC 11465813,11465813,,296.69861,49.316479,5520.0,0.983,1.03,
KIC 11493732,11493732,,283.72592,49.479519,6144.0,1.091,1.093,
KIC 11507101,11507101,Kepler-672,291.72202,49.480869,5481.0,1.036,0.915,1033.93
KIC 10987985,10987985,Kepler-665,297.02563,48.478588,5015.0,0.826,0.785,612.838
KIC 11018648,11018648,Kepler-230,285.71854,48.505859,5586.0,0.798,0.844,740.754
KIC 11138155,11138155,Kepler-1976,292.16705,48.727589,5712.0,1.082,0.976,1314.51
KIC 11152159,11152159,,297.92365,48.777321,5550.0,0.91,0.889,
KIC 11153539,11153539,Kepler-666,298.45685,48.791592,6075.0,0.969,1.048,1508.71
KIC 11242721,11242721,,291.0939,48.933842,6074.0,1.063,1.014,
KIC 9579641,9579641,Kepler-105,287.88733,46.276241,5779.0,1.087,0.941,459.223
KIC 11304958,11304958,Kepler-667,295.55505,49.017342,5468.0,1.046,0.93,2302.45
KIC 11391957,11391957,Kepler-668,285.49924,49.277351,5592.0,0.787,0.862,784.618
KIC 11403044,11403044,Kepler-669,291.93616,49.253979,6174.0,1.103,1.162,2063.41
KIC 11414511,11414511,Kepler-670,297.01547,49.225288,5532.0,0.955,0.941,939.744
KIC 11442465,11442465,,284.17233,49.360722,5040.0,0.705,0.782,
KIC 12110942,12110942,Kepler-680,291.62241,50.61824,5880.0,0.917,1.01,1492.48
KIC 12366084,12366084,Kepler-232,295.81616,51.121738,5714.0,1.015,1.007,1349.13
KIC 12404086,12404086,Kepler-681,289.39972,51.25032,5129.0,0.763,0.846,686.923
KIC 8395660,8395660,Kepler-106,300.86398,44.337551,5854.0,1.012,0.951,444.322
KIC 11656840,11656840,,288.98682,49.733742,6108.0,0.956,0.981,
KIC 11754553,11754553,Kepler-52,286.73804,49.97575,4126.0,0.615,0.633,321.542
KIC 11812062,11812062,Kepler-673,290.78574,50.054119,5497.0,0.809,0.907,918.21
KIC 11818800,11818800,,294.31686,50.080231,5446.0,0.781,0.714,
KIC 11853255,11853255,Kepler-674,285.17621,50.149818,4149.0,0.564,0.578,342.254
KIC 11909839,11909839,,289.23553,50.241001,5746.0,0.924,0.77,
KIC 11918099,11918099,Kepler-675,293.83331,50.23035,5005.0,0.765,0.85,665.68
KIC 11923270,11923270,Kepler-676,296.22195,50.28722,3688.0,0.473,0.503,295.196
KIC 11960862,11960862,Kepler-677,290.09805,50.321609,5992.0,0.989,0.927,1954.08
KIC 12020329,12020329,Kepler-678,295.45529,50.49456,5485.0,0.867,0.986,1826.15
KIC 12066335,12066335,Kepler-231,293.97336,50.53191,4077.0,0.56,0.576,316.618
KIC 12070811,12070811,Kepler-679,296.02133,50.56778,5557.0,0.75,0.832,922.244
KIC 3120431,3120431,,292.31595,38.27029,5295.0,0.811,0.853,
KIC 3246984,3246984,,294.36819,38.31028,5735.0,0.973,0.889,
KIC 3342970,3342970,Kepler-234,291.65353,38.494659,6214.0,1.076,1.169,1733.1
KIC 12459725,12459725,,291.0448,51.321671,5799.0,0.878,0.975,
KIC 12470844,12470844,Kepler-233,296.36652,51.319519,5354.0,0.788,0.884,856.417
KIC 12644822,12644822,Kepler-682,289.11221,51.737381,5795.0,0.919,0.992,1979.25
KIC 2440757,2440757,,290.84369,37.728828,6017.0,1.339,1.083,
KIC 2445129,2445129,,291.84891,37.713501,5927.0,1.06,1.05,
KIC 2713049,2713049,Kepler-683,291.43997,37.905659,5519.0,1.062,0.921,1023.07
KIC 3114167,3114167,Kepler-684,290.87051,38.273628,5653.0,0.679,0.767,1731.27
KIC 3114661,3114661,,290.99689,38.28492,5255.0,0.636,0.709,
KIC 3115833,3115833,,291.28195,38.241669,5988.0,0.836,0.885,
KIC 4139816,4139816,Kepler-235,286.07913,39.27832,3950.0,0.493,0.502,428.018
KIC 4275191,4275191,Kepler-688,294.65524,39.308361,5557.0,0.774,0.866,1357.75
KIC 4476123,4476123,Kepler-689,294.71063,39.52174,5395.0,0.734,0.821,1131.73
KIC 3351888,3351888,Kepler-685,293.87192,38.422939,5539.0,1.106,0.935,938.715
KIC 3453214,3453214,,293.81619,38.563568,5710.0,0.905,0.928,
KIC 3554600,3554600,,293.94116,38.601101,5657.0,0.824,0.919,
KIC 3641726,3641726,Kepler-1727,290.33362,38.72823,5349.0,0.82,0.824,894.187
KIC 3734868,3734868,,287.69675,38.886452,5627.0,1.024,0.874,
KIC 3832474,3832474,Kepler-30,285.28363,38.947281,5485.0,0.867,0.986,914.221
KIC 3836375,3836375,,286.92639,38.921631,5663.0,0.915,1.034,
KIC 3838486,3838486,,287.74881,38.92955,4667.0,0.731,0.737,
KIC 3935914,3935914,Kepler-686,285.21381,39.027481,5934.0,0.893,0.901,1490.94
KIC 3940418,3940418,Kepler-1728,287.09399,39.060719,5170.0,0.807,0.891,651.783
KIC 4049131,4049131,Kepler-687,289.31543,39.153278,4905.0,0.761,0.739,633.66
KIC 5287983,5287983,,295.37805,40.493401,5926.0,0.939,1.03,
KIC 5358241,5358241,Kepler-53,290.46176,40.562462,5775.0,1.053,1.026,1366.07
KIC 10875245,10875245,Kepler-107,297.02826,48.208611,5847.0,1.402,1.113,525.997
KIC 5358624,5358624,Kepler-428,290.58173,40.5774,5150.0,0.793,0.855,686.284
KIC 4544670,4544670,,285.92001,39.624828,5509.0,0.871,0.84,
KIC 4664847,4664847,Kepler-690,294.4899,39.771439,5973.0,1.085,1.181,1665.31
KIC 4725681,4725681,Kepler-236,283.86639,39.898079,3747.0,0.524,0.536,288.763
KIC 4913852,4913852,Kepler-691,288.81201,40.033401,3692.0,0.517,0.553,279.115
KIC 4932348,4932348,,294.14789,40.055538,5575.0,0.932,1.051,
KIC 4936180,4936180,,295.11371,40.071171,6463.0,0.826,0.786,
KIC 11913073,11913073,,291.06152,50.265129,5514.0,0.826,0.926,
KIC 5021899,5021899,Kepler-692,294.77686,40.15374,5601.0,0.999,0.934,991.336
KIC 5077629,5077629,,283.53845,40.217999,5690.0,0.776,0.852,
KIC 5115978,5115978,,296.00699,40.295429,6228.0,0.99,0.959,
KIC 5164255,5164255,Kepler-693,283.25354,40.358189,4986.0,0.833,0.793,1151.51
KIC 5252423,5252423,Kepler-237,283.22141,40.421829,4861.0,0.732,0.733,657.822
KIC 5272878,5272878,Kepler-694,291.14951,40.420521,5776.0,0.849,0.939,1023.06
KIC 5283542,5283542,,294.22397,40.417858,6108.0,0.997,1.072,
KIC 5649215,5649215,,298.96112,40.862808,5764.0,0.863,0.959,
KIC 5651104,5651104,Kepler-695,299.3161,40.82238,5035.0,0.791,0.754,842.947
KIC 5792202,5792202,Kepler-27,292.23676,41.08588,5251.0,0.817,0.926,1044.36
KIC 5370302,5370302,,294.05676,40.549679,5810.0,0.898,0.989,
KIC 5372966,5372966,,294.74396,40.53392,5670.0,0.821,0.82,
KIC 5376067,5376067,,295.50439,40.505489,6046.0,0.869,0.953,
KIC 5436502,5436502,Kepler-238,287.89713,40.637821,5739.0,1.384,1.083,1798.75
KIC 5456651,5456651,Kepler-239,294.20215,40.66341,4959.0,0.756,0.849,648.109
KIC 5481416,5481416,,299.64285,40.691238,4794.0,0.701,0.683,
KIC 5531576,5531576,Kepler-240,291.15878,40.750271,4768.0,0.779,0.759,746.927
KIC 5534814,5534814,,292.21436,40.759762,6072.0,0.988,1.05,
KIC 6291653,6291653,Kepler-702,293.87811,41.66177,5386.0,0.793,0.82,992.071
KIC 6392727,6392727,Kepler-703,299.18686,41.74268,5815.0,0.877,0.973,1156.83
KIC 6422070,6422070,Kepler-704,283.31638,41.83712,5653.0,0.949,0.974,1228.83
KIC 6428700,6428700,Kepler-242,286.5657,41.808399,5015.0,0.826,0.785,600.241
KIC 5794379,5794379,Kepler-241,292.91312,41.060921,4702.0,0.686,0.67,
KIC 5881688,5881688,Kepler-696,293.49661,41.137589,6073.0,1.135,1.163,1416.44
KIC 6022556,6022556,Kepler-697,283.86441,41.346458,5727.0,0.978,1.013,1277.33
KIC 6032497,6032497,Kepler-698,288.51001,41.301769,5878.0,0.987,0.989,1995.57
KIC 6061119,6061119,Kepler-699,296.88821,41.396091,5862.0,0.785,0.865,
KIC 6191521,6191521,Kepler-700,287.1543,41.565788,5510.0,1.238,0.932,1491.76
KIC 6267425,6267425,,284.86929,41.679192,4968.0,0.704,0.68,
KIC 3531558,3531558,Kepler-467,287.36279,38.649601,5718.0,1.317,0.961,466.265
KIC 6276477,6276477,Kepler-701,288.9942,41.633282,5501.0,0.918,0.891,774.152
KIC 6863998,6863998,Kepler-709,292.10519,42.380322,5239.0,0.826,0.83,664.843
KIC 6867155,6867155,,293.00797,42.307201,4245.0,0.657,0.666,
KIC 6948054,6948054,Kepler-245,291.63898,42.436321,5103.0,0.787,0.823,861.527
KIC 6435936,6435936,Kepler-705,289.50848,41.812119,3593.0,0.491,0.503,276.881
KIC 6522242,6522242,Kepler-706,291.76041,41.944069,5522.0,0.747,0.786,
KIC 6526710,6526710,,293.17929,41.969238,6122.0,0.964,1.041,
KIC 6587280,6587280,Kepler-243,285.11047,42.033958,5237.0,0.826,0.927,693.86
KIC 9471974,9471974,Kepler-108,294.55917,46.062328,5626.0,2.057,1.247,338.732
KIC 6599919,6599919,,289.89777,42.009151,5697.0,0.903,0.857,
KIC 6675056,6675056,,286.24356,42.148811,4947.0,0.802,0.769,
KIC 6685526,6685526,Kepler-707,290.00757,42.116459,5265.0,0.81,0.91,591.776
KIC 6756669,6756669,,284.08731,42.233231,5532.0,0.806,0.804,
KIC 6784235,6784235,Kepler-708,293.81647,42.212502,5895.0,0.94,1.026,1394.22
KIC 6849310,6849310,Kepler-244,287.24268,42.301369,5527.0,0.927,0.956,1036.49
KIC 6862328,6862328,,291.58377,42.36816,5453.0,1.062,0.904,
KIC 6862603,6862603,,291.67172,42.343109,6126.0,1.021,1.09,
KIC 7366258,7366258,Kepler-82,292.87338,42.966141,5427.0,0.929,0.915,904.326
KIC 7373451,7373451,Kepler-712,294.90973,42.935261,5067.0,0.75,0.789,872.493
KIC 6949607,6949607,Kepler-28,292.13702,42.42942,4072.0,0.57,0.586,438.359
KIC 7031517,7031517,,291.11969,42.507069,5875.0,0.809,0.895,
KIC 11869052,11869052,,294.40192,50.172089,5670.0,1.264,0.937,
KIC 7109675,7109675,Kepler-46,289.26874,42.604172,5149.0,0.93,0.882,777.06
KIC 7118364,7118364,Kepler-710,291.96417,42.69614,5754.0,1.122,1.014,1448.34
KIC 7134976,7134976,Kepler-246,296.48343,42.663429,4986.0,0.833,0.793,626.078
KIC 7135852,7135852,Kepler-1729,296.69394,42.62611,3837.0,0.517,0.544,576.181
KIC 7270230,7270230,,287.88412,42.832439,5612.0,0.829,0.926,
KIC 7287995,7287995,Kepler-81,293.63696,42.82497,4261.0,0.633,0.64,348.291
KIC 3247396,3247396,,294.46088,38.383461,6200.0,2.404,1.333,
KIC 7303253,7303253,Kepler-711,297.46002,42.83992,4919.0,0.721,0.697,624.575
KIC 5094751,5094751,Kepler-109,290.39273,40.28487,5945.0,1.302,1.009,474.861
KIC 7678434,7678434,Kepler-716,290.39322,43.363899,5121.0,0.888,0.822,635.009
KIC 7685981,7685981,Kepler-717,292.96555,43.34639,6007.0,0.961,0.968,2805.48
KIC 7708215,7708215,,299.00143,43.399632,5811.0,0.926,1.036,
KIC 7377033,7377033,,295.83536,42.943062,5209.0,0.603,0.602,
KIC 7380537,7380537,,296.68307,42.967869,4820.0,0.639,0.699,
KIC 7434875,7434875,Kepler-247,288.64252,43.039291,5097.0,0.779,0.891,663.711
KIC 8349582,8349582,Kepler-95,284.48245,44.398041,5644.0,1.411,1.053,445.656
KIC 7455287,7455287,Kepler-54,294.77393,43.056301,3713.0,0.47,0.484,271.701
KIC 7458762,7458762,Kepler-713,295.65149,43.029831,5849.0,0.919,1.014,1089.87
KIC 7552344,7552344,,297.97513,43.164909,5472.0,0.79,0.718,
KIC 757450,757450,Kepler-75,291.1376,36.577381,5332.0,0.843,0.821,835.356
KIC 7585481,7585481,Kepler-714,282.69952,43.272739,6214.0,1.076,1.169,2083.37
KIC 7663691,7663691,Kepler-715,283.63077,43.379398,6063.0,1.001,1.079,1327.44
KIC 5812701,5812701,Kepler-448,297.45374,41.01099,6823.0,1.367,1.386,
KIC 8013419,8013419,,285.16748,43.876339,3950.0,0.541,0.563,
KIC 8018547,8018547,,287.85239,43.897991,3960.0,0.509,0.526,
KIC 8039892,8039892,Kepler-719,295.53613,43.884449,5865.0,0.827,0.914,2497.51
KIC 8150320,8150320,Kepler-55,285.16833,44.026459,4500.0,0.646,0.71,578.796
KIC 11086270,11086270,Kepler-110,292.92914,48.60281,5869.0,1.626,1.019,586.531
KIC 7767559,7767559,,296.41019,43.455391,5600.0,0.975,0.811,
KIC 7825899,7825899,Kepler-248,293.0614,43.58136,5191.0,0.837,0.937,738.792
KIC 7849854,7849854,Kepler-718,299.56189,43.503559,5855.0,1.08,1.049,1302.33
KIC 7870390,7870390,Kepler-83,282.23251,43.66563,3906.0,0.509,0.508,400.409
KIC 7907423,7907423,Kepler-249,296.98505,43.65852,3561.0,0.411,0.44,190.401
KIC 7938496,7938496,Kepler-1730,281.96063,43.70311,5942.0,1.142,1.009,1427.08
KIC 8490993,8490993,Kepler-722,290.26328,44.55645,6077.0,0.999,1.077,1239.5
KIC 8505670,8505670,Kepler-252,295.57935,44.545959,4201.0,0.591,0.609,379.424
KIC 8544996,8544996,Kepler-723,284.83047,44.658138,5655.0,0.794,0.886,1071.8
KIC 8552202,8552202,,288.72665,44.60751,5662.0,0.738,0.813,
KIC 8180063,8180063,,296.50754,44.036072,5865.0,0.827,0.914,
KIC 8226994,8226994,Kepler-250,289.59476,44.141949,5029.0,0.838,0.798,760.585
KIC 8247638,8247638,Kepler-251,296.56622,44.105862,5527.0,0.866,0.841,924.625
KIC 8255887,8255887,Kepler-720,298.63565,44.17094,5560.0,1.21,0.94,1065.37
KIC 8256049,8256049,,298.67862,44.175499,4187.0,0.592,0.58,
KIC 8414716,8414716,Kepler-721,284.43051,44.48053,5198.0,0.801,0.915,926.598
KIC 9140402,9140402,,284.75943,45.599129,5569.0,0.829,0.928,
KIC 9141746,9141746,Kepler-730,285.55481,45.578861,6123.0,1.107,1.159,1935.04
KIC 9159275,9159275,,293.68494,45.51683,5525.0,0.753,0.843,
KIC 9166862,9166862,Kepler-731,296.39316,45.568562,6033.0,1.046,1.153,1257.16
KIC 9166870,9166870,,296.39542,45.56992,5936.0,0.965,1.075,
KIC 11449844,11449844,Kepler-468,288.90222,49.370491,5510.0,0.879,0.973,442.871
KIC 8605074,8605074,,282.30603,44.714661,6140.0,1.096,0.989,
KIC 8628973,8628973,Kepler-724,293.45483,44.792789,5609.0,0.944,0.983,853.119
KIC 8655354,8655354,,301.04956,44.706299,5931.0,0.866,0.825,
KIC 8672910,8672910,Kepler-725,283.97751,44.811562,5231.0,0.9,0.844,758.469
KIC 8686150,8686150,,290.63898,44.806789,6257.0,1.147,1.233,
KIC 8689031,8689031,Kepler-726,291.71732,44.88731,5481.0,0.708,0.806,762.081
KIC 8689373,8689373,Kepler-253,291.84198,44.858089,5196.0,0.775,0.869,838.595
KIC 8826878,8826878,Kepler-727,294.84689,45.034409,5431.0,0.884,0.816,831.842
KIC 5897826,5897826,Kepler-469,297.47586,41.114288,5855.0,1.796,1.174,
KIC 8883593,8883593,Kepler-728,291.09235,45.115528,5897.0,0.891,0.983,1765.23
KIC 8951215,8951215,,291.20804,45.244389,6225.0,1.031,1.091,
KIC 9016295,9016295,,289.72748,45.367661,6108.0,0.997,1.072,
KIC 9077124,9077124,Kepler-729,286.36011,45.414291,6007.0,0.998,1.072,1921.15
KIC 9097120,9097120,,294.71768,45.48576,6192.0,0.924,0.991,
KIC 9466668,9466668,Kepler-256,292.58044,46.097389,5553.0,1.25,0.949,1026.43
KIC 9479273,9479273,Kepler-734,297.04562,46.027359,5085.0,0.712,0.71,1157.21
KIC 8359498,8359498,Kepler-77,289.60797,44.345421,5524.0,0.994,0.95,639.411
KIC 9171801,9171801,,297.78848,45.565418,5450.0,0.811,0.857,
KIC 9334289,9334289,Kepler-254,288.1647,45.816509,5561.0,1.06,0.943,1389.48
KIC 9347899,9347899,Kepler-31,294.02301,45.853081,6035.0,1.257,0.958,1664.64
KIC 9388479,9388479,Kepler-732,283.73203,45.958771,3582.0,0.458,0.491,174.826
KIC 11359879,11359879,Kepler-15,296.20059,49.140121,5514.0,0.978,1.003,739.412
KIC 9406990,9406990,Kepler-733,293.01828,45.914688,5537.0,0.88,0.999,916.706
KIC 9415172,9415172,Kepler-255,296.06424,45.976841,5344.0,1.013,0.867,1052.53
KIC 9904059,9904059,,296.81772,46.781509,5047.0,7.119,2.15,
KIC 3231341,3231341,Kepler-24,290.41327,38.34375,5896.0,1.24,0.884,1156.81
KIC 2860866,2860866,,293.22391,38.033581,6520.0,1.215,1.279,
KIC 7626506,7626506,Kepler-112,296.98102,43.209751,5551.0,0.812,0.776,513.206
KIC 10460629,10460629,,287.58679,47.600021,6449.0,1.309,1.063,
KIC 10319385,10319385,,281.55118,47.469959,5630.0,0.954,1.064,
KIC 10482160,10482160,Kepler-1739,296.23215,47.678959,5757.0,0.762,0.865,783.666
KIC 10485069,10485069,,297.10349,47.64357,6167.0,1.064,1.149,
KIC 3233043,3233043,,290.91119,38.335579,5075.0,1.783,0.905,
KIC 6579806,6579806,,281.66916,42.038639,6113.0,0.917,0.997,
KIC 3560301,3560301,,295.26682,38.61124,6980.0,3.482,1.671,
KIC 4044005,4044005,,287.61633,39.127239,6224.0,1.132,0.998,
KIC 11502218,11502218,,289.09323,49.424484,4813.0,13.652,2.016,
KIC 11180361,11180361,,286.0192,48.866741,8523.0,4.051,2.166,
KIC 5802246,5802246,,295.09866,41.007038,5582.0,0.846,0.819,
KIC 6066403,6066403,,298.13589,41.332062,5758.0,0.902,0.887,
KIC 6209637,6209637,,293.28799,41.560455,,,,
KIC 5988031,5988031,,298.77325,41.214729,5948.0,0.901,0.954,
KIC 7684873,7684873,,292.61194,43.305141,8090.0,2.234,1.828,
KIC 8559644,8559644,Kepler-111,291.65317,44.688271,5873.0,1.235,1.092,657.223
KIC 2851100,2851100,,291.17068,38.008591,4768.0,0.711,0.815,
KIC 3130300,3130300,,294.52557,38.204632,5772.0,4.434,1.657,
KIC 3240158,3240158,Kepler-769,292.7131,38.358212,6049.0,1.176,1.14,1169.57
KIC 3228959,3228959,,289.7962,38.351181,5901.0,0.848,0.938,
KIC 3218908,3218908,Kepler-770,286.49042,38.374908,4941.0,4.885,1.808,930.457
KIC 10341913,10341913,,292.77588,47.461689,6215.0,2.188,1.233,
KIC 10480921,10480921,,295.79526,47.66396,6253.0,1.015,0.975,
KIC 10287723,10287723,,296.82162,47.354031,4500.0,0.726,0.717,
KIC 10350571,10350571,Kepler-784,295.92065,47.448608,5676.0,1.487,1.016,1303.72
KIC 3749365,3749365,Kepler-785,292.0683,38.84227,3807.0,0.503,0.534,642.051
KIC 11013201,11013201,,282.00031,48.542221,7221.0,4.24,2.018,
KIC 11673674,11673674,,297.31006,49.703041,6013.0,1.033,0.938,
KIC 9414417,9414417,,295.80267,45.988079,6247.0,1.762,1.174,
KIC 3632418,3632418,Kepler-21,287.36182,38.714016,6202.0,1.733,1.162,108.522
KIC 3441784,3441784,,290.94437,38.538868,7240.0,1.717,1.62,
KIC 5820218,5820218,,298.9917,41.074989,3995.0,0.561,0.582,
KIC 5876368,5876368,,291.82181,41.11269,5791.0,0.802,0.889,
KIC 5809890,5809890,Kepler-755,296.86099,41.09734,5041.0,0.766,0.807,399.034
KIC 6131236,6131236,Kepler-1734,294.16321,41.451801,6061.0,0.97,1.05,1482.83
KIC 9048161,9048161,,299.39972,45.316051,6266.0,1.889,1.089,
KIC 3235672,3235672,,291.6069,38.348061,,,,
KIC 2837111,2837111,Kepler-771,287.44409,38.088428,5982.0,0.96,1.047,1393.85
KIC 3120276,3120276,,292.27905,38.284531,5699.0,0.853,0.95,
KIC 2307199,2307199,,292.37476,37.630959,6276.0,1.041,1.001,
KIC 3547091,3547091,,292.07849,38.631481,5534.0,0.707,0.786,
KIC 3869825,3869825,,296.13391,38.999008,6715.0,1.241,1.256,
KIC 3655332,3655332,,293.92599,38.73798,5751.0,1.626,1.028,
KIC 4042026,4042026,,286.86926,39.103729,5114.0,0.784,0.746,
KIC 3344419,3344419,,291.99988,38.437698,5555.0,1.061,0.975,
KIC 11192141,11192141,,292.71964,48.852016,4283.0,15.76,0.931,
KIC 11494130,11494130,,284.02679,49.415428,6362.0,2.534,1.352,
KIC 5648449,5648449,,298.80411,40.843563,3598.0,101.451,1.679,
KIC 12167361,12167361,,295.59872,50.720669,8214.0,1.938,1.737,
KIC 8607720,8607720,,283.73642,44.71331,5066.0,5.324,1.372,
KIC 1433962,1433962,,291.76196,37.09864,4506.0,0.651,0.654,
KIC 9032900,9032900,,295.58658,45.364979,6038.0,1.744,1.341,
KIC 5956342,5956342,Kepler-265,290.51047,41.24482,5839.0,1.067,0.881,1280.25
KIC 5956656,5956656,Kepler-756,290.60794,41.201092,5553.0,1.107,0.933,
KIC 3109930,3109930,Kepler-1736,289.7767,38.26228,6085.0,0.973,0.976,1430.0
KIC 2854914,2854914,Kepler-268,291.97617,38.05508,5952.0,1.225,1.059,851.87
KIC 3337425,3337425,,290.13492,38.404221,5766.0,1.068,0.96,
KIC 3116412,3116412,Kepler-772,291.42358,38.216591,5765.0,1.242,0.968,1130.21
KIC 3865567,3865567,,295.29193,38.964588,6122.0,0.996,1.07,
KIC 3544689,3544689,,291.44507,38.637211,5778.0,0.911,1.028,
KIC 4037164,4037164,,285.08026,39.18211,3920.0,0.55,0.554,
KIC 3443790,3443790,,291.47629,38.50058,6261.0,2.789,1.378,
KIC 3966912,3966912,,294.74054,39.015511,5587.0,0.853,0.894,
KIC 8394721,8394721,Kepler-79,300.51712,44.38158,6198.0,1.324,1.101,1020.72
KIC 11607193,11607193,,289.87411,49.68549,7443.0,1.739,1.616,
KIC 1161345,1161345,Kepler-1973,291.0488,36.839882,5296.0,0.815,0.911,
KIC 10227501,10227501,,298.44775,47.264999,5346.0,0.892,0.799,
KIC 2854698,2854698,Kepler-260,291.92596,38.014118,5251.0,0.849,0.821,627.365
KIC 6032981,6032981,,288.68259,41.30732,5234.0,16.959,2.698,
KIC 5866099,5866099,,288.44287,41.17218,5589.0,1.239,0.873,
KIC 5964985,5964985,,293.2735,41.25769,7117.0,1.469,1.18,
KIC 6066416,6066416,,298.13794,41.334358,6802.0,1.521,1.069,
KIC 1996679,1996679,,286.49072,37.489979,6148.0,1.095,0.969,
KIC 2849805,2849805,Kepler-773,290.88467,38.057571,5751.0,0.983,0.987,547.026
KIC 3114811,3114811,Kepler-774,291.03192,38.21196,6353.0,2.867,1.497,917.804
KIC 2853446,2853446,,291.65097,38.028179,5973.0,1.07,0.982,
KIC 3003992,3003992,,294.49011,38.194126,5370.0,0.874,0.869,
KIC 3942446,3942446,,287.88812,39.078709,5697.0,0.92,0.76,
KIC 3554031,3554031,Kepler-415,293.80441,38.63913,4362.0,0.554,0.59,530.487
KIC 7295235,7295235,Kepler-743,295.57416,42.806438,5511.0,0.857,0.96,278.987
KIC 2302548,2302548,Kepler-261,291.36478,37.609169,5095.0,0.78,0.816,317.499
KIC 10743597,10743597,,296.38229,48.045311,5619.0,0.874,0.956,
KIC 9818381,9818381,Kepler-43,285.24084,46.668251,6063.0,1.358,1.227,1005.84
KIC 6124941,6124941,,292.26181,41.442554,3337.0,0.183,0.164,
KIC 6060203,6060203,Kepler-757,296.68045,41.38652,5366.0,1.02,0.875,1068.68
KIC 5880320,5880320,Kepler-758,293.08463,41.135441,6021.0,1.458,0.96,1502.32
KIC 6307537,6307537,,297.75708,41.680454,4889.0,0.788,0.839,
KIC 6359798,6359798,,290.35294,41.769741,5850.0,1.037,0.994,
KIC 6311681,6311681,,298.71152,41.635792,5705.0,0.915,0.865,
KIC 6365321,6365321,,292.23679,41.7393,5941.0,0.936,1.019,
KIC 6301035,6301035,,296.29855,41.602718,6110.0,1.072,0.944,
KIC 3859079,3859079,Kepler-786,293.74393,38.939281,4736.0,0.708,0.791,485.318
KIC 3557493,3557493,,294.65121,38.636459,6277.0,1.031,1.085,
KIC 4061149,4061149,Kepler-1741,292.57703,39.12088,3683.0,0.424,0.454,270.739
KIC 3444588,3444588,Kepler-787,291.69247,38.572899,4109.0,0.602,0.621,503.568
KIC 3962243,3962243,Kepler-276,293.56815,39.03632,5779.0,0.974,1.037,1144.86
KIC 10015516,10015516,,293.47363,46.970402,5355.0,10.703,2.372,
KIC 10154388,10154388,Kepler-744,296.49612,47.182861,5547.0,0.933,0.897,449.964
KIC 1432789,1432789,Kepler-745,291.49942,37.05928,5782.0,1.22,1.035,1780.38
KIC 1718189,1718189,Kepler-262,290.72867,37.252651,5830.0,0.876,0.97,613.129
KIC 5130369,5130369,,299.15353,40.286961,9651.0,1.895,2.219,
KIC 6037187,6037187,Kepler-759,290.1315,41.3815,5907.0,0.973,0.961,1073.48
KIC 6147122,6147122,,297.98123,41.44487,7839.0,2.069,1.878,
KIC 8257407,8257407,,299.0209,44.17276,6214.0,1.583,0.959,
KIC 8218274,8218274,,285.06335,44.167885,6424.0,1.489,1.243,
KIC 3964562,3964562,,294.1434,39.089779,8601.0,2.031,2.063,
KIC 5735762,5735762,Kepler-48,299.13922,40.94902,5192.0,0.873,0.856,306.738
KIC 6292162,6292162,,294.02725,41.675968,5887.0,0.931,0.998,
KIC 6307521,6307521,,297.75311,41.675991,5334.0,1.004,0.865,
KIC 6359320,6359320,Kepler-269,290.21518,41.77597,5831.0,0.921,1.016,2257.32
