target,kepid,kepler_name,ra,dec,teff,srad,smass,dist_pc
KIC 10005758,10005758,Kepler-1662,289.34143,46.988239,5791.0,1.336,0.996,
KIC 10158418,10158418,,297.64606,47.167488,5957.0,1.042,1.034,
KIC 3128793,3128793,,294.207,38.22345,4648.0,5.132,0.95,
KIC 5864975,5864975,Kepler-950,287.95657,41.130329,5808.0,0.786,0.871,2161.6
KIC 2975770,2975770,Kepler-951,287.73755,38.114559,4855.0,0.778,0.769,382.509
KIC 3648437,3648437,,292.16617,38.739052,5815.0,1.329,0.933,
KIC 7877496,7877496,Kepler-412,286.11032,43.680962,5742.0,1.215,1.068,1086.24
KIC 7286173,7286173,Kepler-986,293.09399,42.896431,5534.0,1.001,0.88,548.364
KIC 11126381,11126381,Kepler-1673,285.66711,48.719559,6202.0,1.062,1.122,727.187
KIC 4149450,4149450,Kepler-1772,289.43811,39.270359,5541.0,0.934,0.942,871.564
KIC 5511081,5511081,Kepler-338,282.97897,40.784351,5951.0,1.693,1.086,552.798
KIC 10978763,10978763,Kepler-339,293.35172,48.444641,5353.0,1.023,0.87,616.637
KIC 8098728,8098728,,292.22629,43.995312,6655.0,2.995,1.42,
KIC 2449431,2449431,,292.77399,37.797691,5579.0,0.97,0.901,
KIC 5631630,5631630,Kepler-1051,295.15811,40.898849,6369.0,1.729,1.337,829.343
KIC 6504954,6504954,Kepler-952,285.37195,41.993912,5970.0,1.015,1.089,1304.25
KIC 9410930,9410930,Kepler-41,294.51324,45.98164,5657.0,0.947,0.903,1093.08
KIC 5731623,5731623,,298.31674,40.996101,6131.0,0.945,1.023,
KIC 6153672,6153672,,299.35651,41.414291,5813.0,0.775,0.855,
KIC 10676014,10676014,Kepler-954,295.85938,47.93951,4925.0,0.742,0.778,215.814
KIC 9520838,9520838,Kepler-987,289.41107,46.130852,5534.0,0.875,0.914,914.126
KIC 8167996,8167996,Kepler-327,292.64236,44.087669,3716.0,0.506,0.513,241.987
KIC 6773862,6773862,Kepler-988,290.7084,42.237251,3826.0,0.516,0.54,304.889
KIC 10602291,10602291,,292.78235,47.800629,6126.0,1.109,1.021,
KIC 5202905,5202905,Kepler-340,295.93347,40.300571,6642.0,1.846,1.421,808.762
KIC 9072190,9072190,Kepler-1018,283.59668,45.407879,5393.0,1.11,0.895,1010.01
KIC 5384079,5384079,Kepler-348,297.25504,40.54837,6388.0,1.402,1.259,570.783
KIC 9839821,9839821,Kepler-1052,295.34271,46.602261,5818.0,0.848,0.937,943.444
KIC 4056616,4056616,Kepler-1053,291.41864,39.127419,4507.0,0.724,0.715,151.129
KIC 6707908,6707908,,296.05042,42.113239,5708.0,0.884,0.963,
KIC 8492026,8492026,Kepler-1054,290.60114,44.556381,6108.0,1.03,1.132,1090.51
KIC 6867766,6867766,,293.1962,42.370628,6210.0,1.033,1.093,
KIC 6058614,6058614,,296.30573,41.31712,6045.0,0.955,1.038,
KIC 11017901,11017901,Kepler-447,285.26859,48.560009,5494.0,0.982,0.893,268.041
KIC 5088591,5088591,Kepler-955,288.47144,40.269791,5345.0,0.86,0.802,550.383
KIC 11298298,11298298,Kepler-956,292.53082,49.06171,5807.0,1.012,1.021,544.939
KIC 10187159,10187159,Kepler-989,281.58292,47.233631,5185.0,0.91,0.831,491.978
KIC 9758089,9758089,Kepler-1996,285.25366,46.582191,4580.0,0.675,0.748,440.561
KIC 10619192,10619192,Kepler-17,298.39526,47.81501,5624.0,1.018,1.021,720.753
KIC 9883311,9883311,,288.31332,46.771431,5518.0,0.79,0.885,
KIC 4939346,4939346,Kepler-328,295.8093,40.008511,6194.0,1.069,1.161,2213.19
KIC 4242147,4242147,,284.96967,39.360291,4774.0,0.745,0.77,
KIC 5396122,5396122,,299.6517,40.545681,5895.0,0.991,1.105,
KIC 10190777,10190777,Kepler-1019,283.71753,47.204449,4575.0,0.737,0.726,194.182
KIC 9651234,9651234,Kepler-1020,292.67255,46.377419,5162.0,0.791,0.826,415.358
KIC 7045496,7045496,Kepler-1021,295.2049,42.559681,5395.0,0.734,0.821,810.082
KIC 8750043,8750043,Kepler-1055,290.48676,44.932621,5637.0,0.909,0.914,389.397
KIC 9973109,9973109,Kepler-1056,299.526,46.899261,5657.0,0.911,0.762,982.51
KIC 6226290,6226290,Kepler-1057,297.45215,41.558128,5853.0,0.895,0.99,1201.82
KIC 9595827,9595827,Kepler-71,294.86551,46.285851,5543.0,0.887,0.997,
KIC 9349482,9349482,Kepler-1058,294.59579,45.875031,4441.0,0.546,0.538,491.997
KIC 4349442,4349442,,286.63553,39.488621,4914.0,0.724,0.783,
KIC 4644952,4644952,Kepler-319,288.81195,39.77066,5527.0,0.88,0.875,503.436
KIC 2987027,2987027,Kepler-489,290.83313,38.184349,4941.0,0.738,0.79,369.645
KIC 8978528,8978528,Kepler-329,299.26804,45.227428,4156.0,0.545,0.559,439.719
KIC 9967771,9967771,Kepler-990,297.9382,46.881401,5539.0,1.207,0.932,802.163
KIC 11622600,11622600,Kepler-991,297.09067,49.626572,4316.0,0.58,0.584,389.561
KIC 10454632,10454632,Kepler-992,284.4303,47.641781,4975.0,0.724,0.818,259.639
KIC 10005788,10005788,Kepler-1022,289.35202,46.973728,4302.0,0.586,0.573,420.042
KIC 10656508,10656508,,287.97031,47.972099,5822.0,1.28,1.047,
KIC 5213902,5213902,,298.21765,40.341019,6198.0,0.97,1.024,
KIC 2832589,2832589,Kepler-1978,286.00674,38.009541,5251.0,0.778,0.869,865.512
KIC 2438513,2438513,Kepler-1777,290.32867,37.72311,5771.0,1.068,0.984,619.146
KIC 6356207,6356207,Kepler-1059,289.22021,41.706478,5063.0,0.728,0.813,713.167
KIC 8564674,8564674,Kepler-349,293.67648,44.615582,5741.0,0.956,1.035,940.724
KIC 8578780,8578780,Kepler-1784,297.95416,44.66748,5442.0,0.974,0.887,883.045
KIC 4544907,4544907,Kepler-1060,286.02518,39.630932,5504.0,0.993,0.943,946.565
KIC 7761918,7761918,Kepler-1769,294.74332,43.461208,6071.0,1.295,1.061,438.412
KIC 8240797,8240797,Kepler-321,294.45386,44.145973,5772.0,0.956,1.022,384.542
KIC 8164262,8164262,,291.24683,44.00042,7700.0,2.111,1.692,
KIC 6279974,6279974,,290.12653,41.601082,5872.0,2.022,1.256,
KIC 9455325,9455325,Kepler-958,287.25668,46.066769,5371.0,0.852,0.864,449.773
KIC 3098810,3098810,Kepler-1773,286.22324,38.258171,6183.0,1.3,1.241,681.255
KIC 8367644,8367644,Kepler-993,292.61411,44.394661,3828.0,0.565,0.6,324.423
KIC 10332883,10332883,Kepler-994,289.07224,47.40707,3951.0,0.535,0.561,188.158
KIC 9071386,9071386,,283.16632,45.403061,6365.0,1.47,1.312,
KIC 9305831,9305831,Kepler-44,300.10236,45.762138,5763.0,1.457,1.093,1188.0
KIC 11656918,11656918,Kepler-1023,289.02975,49.769711,5123.0,1.621,0.941,694.175
